"id";"created";"nome"
68;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE PERITO OFICIAL INDICADO"
69;"2011-01-01 00:00:01";"INCIDENTE DE FALSIDADE"
70;"2011-01-01 00:00:01";"INCIDENTE PROCESSUAL"
71;"2011-01-01 00:00:01";"INCLUSÃO DO NOME NAS PUBLICAÇÕES / PEDIDO DE PROVIDÊNCIA"
72;"2011-01-01 00:00:01";"INDICAÇÃO DE ASSISTENTE TÉCNICO E APRESENTAÇÃO DE QUESITOS"
73;"2011-01-01 00:00:01";"INICIAL"
74;"2011-01-01 00:00:01";"JUNTADA DE CUSTAS FINAIS"
75;"2011-01-01 00:00:01";"JUNTADA DE DOCUMENTOS"
76;"2011-01-01 00:00:01";"JUNTADA DE PROCURAÇÃO E/OU SUBSTABELECIMENTO E/OU CARTA DE PREPOSIÇÃO"
77;"2011-01-01 00:00:01";"JUNTADA DE VERBA OFICIAL DE JUSTIÇA"
78;"2011-01-01 00:00:01";"MANDADO DE SEGURANÇA"
79;"2011-01-01 00:00:01";"MANIFESTAÇÃO"
80;"2011-01-01 00:00:01";"MEMORIAL"
81;"2011-01-01 00:00:01";"MINUTA DE ACORDO"
82;"2011-01-01 00:00:01";"NULIDADES"
83;"2011-01-01 00:00:01";"OFERECIMENTO DE TÍTULOS"
84;"2011-01-01 00:00:01";"PETIÇÃO DE GARANTIA"
85;"2011-01-01 00:00:01";"PETIÇÃO DE REPASSE"
86;"2011-01-01 00:00:01";"PETIÇÃO DE VISTA"
87;"2011-01-01 00:00:01";"PRECATÓRIO"
88;"2011-01-01 00:00:01";"PRESTAÇÃO DE INFORMAÇÕES"
89;"2011-01-01 00:00:01";"RAZÕES FINAIS"
90;"2011-01-01 00:00:01";"RECONSIDERAÇÃO DE DESPACHO"
91;"2011-01-01 00:00:01";"RECONVENÇÃO "
92;"2011-01-01 00:00:01";"RECURSO ADMINISTRATIVO"
93;"2011-01-01 00:00:01";"RECURSO DE REVISTA"
94;"2011-01-01 00:00:01";"RECURSO DE REVISTA ADESIVO"
95;"2011-01-01 00:00:01";"RECURSO ESPECIAL"
96;"2011-01-01 00:00:01";"RECURSO EXTRAORDINÁRIO"
97;"2011-01-01 00:00:01";"RECURSO ORDINÁRIO"
98;"2011-01-01 00:00:01";"RECURSO ORDINÁRIO ADESIVO"
99;"2011-01-01 00:00:01";"REPRESENTAÇÃO"
100;"2011-01-01 00:00:01";"REQUERIMENTO"
101;"2011-01-01 00:00:01";"REQUERIMENTO DE ADIAMENTO DE AUDIÊNCIA"
102;"2011-01-01 00:00:01";"REQUERIMENTO DE DESENTRANHAMENTO DE DOCUMENTOS"
103;"2011-01-01 00:00:01";"REQUERIMENTO DE DESIGNAÇÃO DE AUDIÊNCIA DE TENTATIVA DE CONCILIAÇÃO"
104;"2011-01-01 00:00:01";"REQUERIMENTO DE DISPENSA DE PARTES E ADVOGADOS DE AUDIÊNCIA"
105;"2011-01-01 00:00:01";"REQUERIMENTO DE EXPEDIÇÃO DE CERTIDÃO"
106;"2011-01-01 00:00:01";"REQUERIMENTO DE PERÍCIA"
107;"2011-01-01 00:00:01";"REQUERIMENTO DE SUSPENSÃO"
108;"2011-01-01 00:00:01";"REQUERIMENTO/SUSPENSÃO/ADIAMENTO DE PRAÇA"
109;"2011-01-01 00:00:01";"RESTAURAÇÃO DE AUTOS"
110;"2011-01-01 00:00:01";"RETIFICAÇÃO DE POLO"
111;"2011-01-01 00:00:01";"ROL DE PERGUNTAS/QUESITOS PARA INSTRUÇÃO DE CARTA PRECATÓRIA"
112;"2011-01-01 00:00:01";"ROL DE TESTEMUNHAS"
113;"2011-01-01 00:00:01";"SUSPENSÃO DE LIMINAR"
114;"2011-01-01 00:00:01";"SUSPENSÃO DE SEGURANÇA"
